FID,r__2011
0,683.274536132812500
1,470.458953857421875
2,497.726226806640625
3,446.488861083984375
4,438.599151611328125
5,552.676086425781250
6,714.748474121093750
7,392.633880615234375
8,694.540100097656250
9,506.745147705078125
10,456.584564208984375
11,482.054443359375000
12,428.901763916015625
13,334.571014404296875
14,438.396087646484375
15,589.541931152343750
16,374.203155517578125
17,410.865447998046875
18,528.091308593750000
19,379.442474365234375
20,330.160980224609375
21,371.788024902343750
22,314.720001220703125
23,730.838745117187500
24,381.246612548828125
25,364.232360839843750
26,438.589355468750000
27,370.261077880859375
28,274.014221191406250
29,317.306030273437500
30,424.197814941406250
31,372.142272949218750
32,307.510284423828125
33,308.728088378906250
34,260.287750244140625
35,280.277313232421875
36,517.830505371093750
37,368.672149658203125
38,301.910430908203125
39,273.545257568359375
40,280.000854492187500
41,309.739715576171875
42,270.734893798828125
43,279.251892089843750
44,298.425872802734375
45,308.646026611328125
46,314.801361083984375
47,306.818786621093750
48,299.028930664062500
49,233.097610473632812
50,288.632171630859375
51,696.615722656250000
52,747.012695312500000
53,580.566101074218750
54,644.595825195312500
55,556.405944824218750
56,346.031799316406250
57,277.346923828125000
58,282.123718261718750
59,330.489990234375000
60,266.841461181640625
61,278.932098388671875
62,282.835388183593750
63,294.194915771484375
64,313.073516845703125
65,413.348663330078125
66,339.472351074218750
67,298.355041503906250
68,243.510696411132812
69,337.934539794921875
70,318.927124023437500
71,305.699554443359375
72,325.437133789062500
73,428.733917236328125
74,527.752258300781250
75,457.461730957031250
76,534.388793945312500
77,556.565979003906250
78,525.558105468750000
79,430.983032226562500
80,339.479980468750000
81,276.322296142578125
82,289.620208740234375
83,297.207489013671875
84,250.503524780273438
85,273.941131591796875
86,283.942901611328125
87,291.840637207031250
88,296.677917480468750
89,332.297698974609375
90,336.629058837890625
91,337.410308837890625
92,308.718292236328125
93,229.862182617187500
94,277.525695800781250
95,453.367858886718750
96,385.004058837890625
97,342.807067871093750
98,383.641510009765625
99,443.803253173828125
100,308.614593505859375
101,390.259063720703125
102,437.039184570312500
103,478.321716308593750
104,464.687194824218750
105,411.842468261718750
106,325.758819580078125
107,289.350250244140625
108,303.346069335937500
109,300.698211669921875
110,251.324478149414062
111,289.292572021484375
112,338.495300292968750
113,294.998260498046875
114,275.809722900390625
115,293.193939208984375
116,314.785064697265625
117,380.466552734375000
118,307.457031250000000
119,272.302917480468750
120,327.379150390625000
121,226.501571655273438
122,209.259277343750000
123,169.256820678710938
124,165.080459594726562
125,468.420013427734375
126,368.468658447265625
127,330.984008789062500
128,363.774536132812500
129,495.313476562500000
130,485.783966064453125
131,354.624359130859375
132,357.312927246093750
133,483.379516601562500
134,527.521179199218750
135,843.806335449218750
136,815.452270507812500
137,586.982116699218750
138,383.192413330078125
139,458.778198242187500
140,484.102294921875000
141,338.323120117187500
142,255.783050537109375
143,308.263702392578125
144,389.357238769531250
145,295.272491455078125
146,309.571624755859375
147,309.629821777343750
148,291.757507324218750
149,294.737304687500000
150,286.837463378906250
151,293.610809326171875
152,432.977813720703125
153,420.772491455078125
154,407.685943603515625
155,366.277557373046875
156,306.111724853515625
157,556.928100585937500
158,409.998199462890625
159,341.608245849609375
160,326.706787109375000
161,384.702331542968750
162,458.031188964843750
163,401.101684570312500
164,553.178039550781250
165,450.071289062500000
166,503.302642822265625
167,716.060913085937500
168,1372.721191410000074
169,1683.193481450000036
170,844.167480468750000
171,458.522247314453125
172,463.337371826171875
173,518.802978515625000
174,348.276214599609375
175,257.961456298828125
176,300.232696533203125
177,337.232147216796875
178,298.762390136718750
179,401.479675292968750
180,364.643768310546875
181,284.094207763671875
182,307.702270507812500
183,302.952545166015625
184,411.031066894531250
185,548.516723632812500
186,456.433776855468750
187,572.761962890625000
188,515.446899414062500
189,329.971282958984375
190,333.537841796875000
191,554.697570800781250
192,504.697631835937500
193,381.007568359375000
194,356.522888183593750
195,365.978729248046875
196,385.863464355468750
197,458.386718750000000
198,407.297943115234375
199,625.180419921875000
200,482.493072509765625
201,508.343841552734375
202,636.858520507812500
203,1100.847778320000089
204,1401.358398439999974
205,867.009033203125000
206,593.697021484375000
207,407.028350830078125
208,367.472320556640625
209,324.496063232421875
210,288.173095703125000
211,297.028137207031250
212,379.455535888671875
213,408.908569335937500
214,326.717742919921875
215,289.050079345703125
216,268.000427246093750
217,338.588104248046875
218,380.942047119140625
219,398.711608886718750
220,407.790435791015625
221,387.295349121093750
222,409.496246337890625
223,399.700164794921875
224,360.351654052734375
225,372.883697509765625
226,368.342071533203125
227,387.377960205078125
228,398.884918212890625
229,427.044311523437500
230,427.205474853515625
231,420.372406005859375
232,468.289031982421875
233,452.920623779296875
234,437.708435058593750
235,515.429809570312500
236,945.144104003906250
237,1368.879760739999938
238,908.011535644531250
239,717.253723144531250
240,861.278320312500000
241,730.977478027343750
242,419.167877197265625
243,366.115783691406250
244,342.923126220703125
245,343.055755615234375
246,357.513519287109375
247,487.409667968750000
248,432.862976074218750
249,320.956726074218750
250,277.040435791015625
251,257.422760009765625
252,294.653350830078125
253,420.437805175781250
254,418.284729003906250
255,427.318328857421875
256,369.836517333984375
257,360.984222412109375
258,363.307983398437500
259,405.542938232421875
260,420.086761474609375
261,356.096099853515625
262,416.591125488281250
263,467.875000000000000
264,469.878021240234375
265,455.748077392578125
266,460.516845703125000
267,485.918975830078125
268,576.248413085937500
269,650.660034179687500
270,1098.211059570000089
271,1694.660400389999950
272,1980.904907229999935
273,980.174133300781250
274,973.496765136718750
275,1224.526000979999935
276,811.397033691406250
277,571.702087402343750
278,460.865600585937500
279,416.297271728515625
280,416.978668212890625
281,412.092041015625000
282,430.238555908203125
283,371.957611083984375
284,332.135192871093750
285,280.010192871093750
286,242.272796630859375
287,307.465972900390625
288,464.732696533203125
289,439.439636230468750
290,503.675140380859375
291,397.049102783203125
292,385.176788330078125
293,379.211822509765625
294,447.170166015625000
295,513.361511230468750
296,495.073272705078125
297,549.225769042968750
298,652.603881835937500
299,486.777679443359375
300,472.358154296875000
301,476.102783203125000
302,539.242004394531250
303,1352.363403320000089
304,1732.483398439999974
305,2056.709228520000124
306,2265.156738279999900
307,1482.022827150000012
308,1590.505493160000015
