X,Y,Z,FID
30.43624988,-1.046249785,272.5531921,0
30.44458321,-1.046249785,416.3520508,1
30.45291655,-1.046249785,570.4616699,2
30.46124988,-1.046249785,971.4251099,3
30.40291655,-1.054583118,158.907196,4
30.41124988,-1.054583118,198.875473,5
30.42791655,-1.054583118,246.7747345,6
30.43624988,-1.054583118,240.133194,7
30.44458321,-1.054583118,261.5205994,8
30.45291655,-1.054583118,543.5106201,9
30.46124988,-1.054583118,664.1884766,10
30.46958321,-1.054583118,328.2185974,11
30.47791655,-1.054583118,134.7337494,12
30.35291655,-1.062916452,128.3302765,13
30.36124988,-1.062916452,137.0700836,14
30.36958322,-1.062916452,98.6164093,15
30.37791655,-1.062916452,176.0088959,16
30.38624988,-1.062916452,144.2837677,17
30.39458321,-1.062916452,171.546875,18
30.40291655,-1.062916452,174.5030365,19
30.41124988,-1.062916452,166.227829,20
30.41958321,-1.062916452,182.522644,21
30.42791655,-1.062916452,190.0122681,22
30.43624988,-1.062916452,220.0708618,23
30.44458321,-1.062916452,250.1936798,24
30.45291655,-1.062916452,343.3100586,25
30.46124988,-1.062916452,335.3493652,26
30.46958321,-1.062916452,181.2807922,27
30.35291655,-1.071249785,182.4474487,28
30.36124988,-1.071249785,198.296463,29
30.36958322,-1.071249785,198.4447021,30
30.37791655,-1.071249785,208.9567108,31
30.38624988,-1.071249785,224.8122559,32
30.39458321,-1.071249785,246.8519897,33
30.40291655,-1.071249785,265.4469604,34
30.41124988,-1.071249785,335.2406616,35
30.41958321,-1.071249785,206.0358124,36
30.42791655,-1.071249785,180.6063843,37
30.43624988,-1.071249785,172.091217,38
30.44458321,-1.071249785,177.5458984,39
30.45291655,-1.071249785,182.0847626,40
30.46124988,-1.071249785,158.6030884,41
30.35291655,-1.079583118,182.4029541,42
30.36124988,-1.079583118,190.1549225,43
30.36958322,-1.079583118,205.8815155,44
30.37791655,-1.079583118,218.8588409,45
30.38624988,-1.079583118,231.2174072,46
30.39458321,-1.079583118,295.0658875,47
30.40291655,-1.079583118,466.980072,48
30.41124988,-1.079583118,467.1112061,49
30.41958321,-1.079583118,250.9439545,50
30.42791655,-1.079583118,171.8520813,51
30.43624988,-1.079583118,168.8945313,52
30.44458321,-1.079583118,165.2237854,53
30.45291655,-1.079583118,170.073288,54
30.34458322,-1.087916452,139.947998,55
30.35291655,-1.087916452,192.241333,56
30.36124988,-1.087916452,199.2012024,57
30.36958322,-1.087916452,234.5539856,58
30.37791655,-1.087916452,252.8963776,59
30.38624988,-1.087916452,250.9044342,60
30.39458321,-1.087916452,276.1851501,61
30.40291655,-1.087916452,331.5803528,62
30.41124988,-1.087916452,382.2079468,63
30.41958321,-1.087916452,284.7653809,64
30.42791655,-1.087916452,194.7348785,65
30.43624988,-1.087916452,175.3845673,66
30.44458321,-1.087916452,169.1843567,67
30.45291655,-1.087916452,143.1688995,68
30.34458322,-1.096249785,187.1665649,69
30.35291655,-1.096249785,197.0546875,70
30.36124988,-1.096249785,217.4253235,71
30.36958322,-1.096249785,272.6411743,72
30.37791655,-1.096249785,332.2949219,73
30.38624988,-1.096249785,289.5131226,74
30.39458321,-1.096249785,280.5395203,75
30.40291655,-1.096249785,297.2127075,76
30.41124988,-1.096249785,507.949646,77
30.41958321,-1.096249785,481.906311,78
30.42791655,-1.096249785,222.1936188,79
30.43624988,-1.096249785,190.3919067,80
30.44458321,-1.096249785,186.298233,81
30.45291655,-1.096249785,136.4001312,82
30.34458322,-1.104583118,189.2994232,83
30.35291655,-1.104583118,192.4651489,84
30.36124988,-1.104583118,219.2228851,85
30.36958322,-1.104583118,274.5516968,86
30.37791655,-1.104583118,393.7312012,87
30.38624988,-1.104583118,366.7432861,88
30.39458321,-1.104583118,338.1036682,89
30.40291655,-1.104583118,311.242218,90
30.41124988,-1.104583118,433.9815063,91
30.41958321,-1.104583118,486.0291748,92
30.42791655,-1.104583118,407.1333618,93
30.43624988,-1.104583118,258.8526306,94
30.44458321,-1.104583118,222.9191895,95
30.34458322,-1.112916451,186.9228668,96
30.35291655,-1.112916451,191.2296448,97
30.36124988,-1.112916451,210.7175751,98
30.36958322,-1.112916451,230.2566986,99
30.37791655,-1.112916451,279.3024292,100
30.38624988,-1.112916451,419.098877,101
30.39458321,-1.112916451,383.9994202,102
30.40291655,-1.112916451,316.3768616,103
30.41124988,-1.112916451,729.9927368,104
30.41958321,-1.112916451,1119.577515,105
30.42791655,-1.112916451,1172.557983,106
30.43624988,-1.112916451,555.8034058,107
30.44458321,-1.112916451,298.5117798,108
30.45291655,-1.112916451,148.3845367,109
30.34458322,-1.121249785,164.3290253,110
30.35291655,-1.121249785,191.7393036,111
30.36124988,-1.121249785,199.6132507,112
30.36958322,-1.121249785,221.7763977,113
30.37791655,-1.121249785,247.0555878,114
30.38624988,-1.121249785,288.2214661,115
30.39458321,-1.121249785,277.2464294,116
30.40291655,-1.121249785,299.4537354,117
30.41124988,-1.121249785,655.4656372,118
30.41958321,-1.121249785,1578.349731,119
